entity_id,attribute,correct_value
uc_34,fuel_type,gasoline
uc_47,fuel_type,gasoline
uc_39,fuel_type,gasoline
uc_7,fuel_type,gasoline
uc_182,fuel_type,gasoline
uc_32,fuel_type,gasoline
uc_142,fuel_type,flex fuel vehicle
uc_85,fuel_type,gasoline
uc_105,fuel_type,gasoline
uc_1,fuel_type,gasoline
uc_71,fuel_type,gasoline
uc_73,fuel_type,gasoline
uc_187,fuel_type,gasoline
uc_111,fuel_type,gasoline
uc_119,fuel_type,gasoline
uc_61,fuel_type,gasoline
uc_170,fuel_type,gasoline
uc_18,fuel_type,gasoline
uc_19,fuel_type,gasoline
uc_86,fuel_type,gasoline
uc_24,fuel_type,gasoline
uc_13,fuel_type,gasoline
uc_146,fuel_type,gasoline
uc_58,fuel_type,gasoline
uc_93,fuel_type,gasoline
uc_191,fuel_type,gasoline
uc_168,fuel_type,gasoline
uc_179,fuel_type,gasoline
uc_11,fuel_type,gasoline
uc_17,fuel_type,gasoline
uc_151,fuel_type,gasoline
uc_26,fuel_type,gasoline
uc_144,fuel_type,gasoline
uc_100,fuel_type,gasoline
uc_128,fuel_type,gasoline
uc_64,fuel_type,gasoline
uc_70,fuel_type,gasoline
uc_102,fuel_type,gasoline
uc_14,fuel_type,gasoline
uc_79,fuel_type,gasoline
uc_125,fuel_type,gasoline
uc_22,fuel_type,gasoline
uc_95,fuel_type,flex fuel vehicle
uc_0,fuel_type,gasoline
uc_42,fuel_type,gasoline
uc_117,fuel_type,gasoline
uc_37,fuel_type,gasoline
uc_65,fuel_type,gasoline
uc_180,fuel_type,diesel
uc_41,fuel_type,gasoline
uc_88,fuel_type,gasoline
uc_33,fuel_type,gasoline
uc_184,fuel_type,gasoline
uc_195,fuel_type,gasoline
uc_143,fuel_type,gasoline
uc_167,fuel_type,gasoline
uc_57,fuel_type,gasoline
uc_157,fuel_type,gasoline
uc_66,fuel_type,gasoline
uc_169,fuel_type,gasoline
uc_81,fuel_type,gasoline
uc_113,fuel_type,gasoline
uc_158,fuel_type,gasoline
uc_59,fuel_type,gasoline
uc_50,fuel_type,gasoline
uc_5,fuel_type,gasoline
uc_52,fuel_type,gasoline
uc_114,fuel_type,gasoline
uc_74,fuel_type,gasoline
uc_133,fuel_type,gasoline
uc_75,fuel_type,gasoline
uc_3,fuel_type,gasoline
uc_28,fuel_type,gasoline
uc_89,fuel_type,gasoline
uc_8,fuel_type,gasoline
uc_185,fuel_type,gasoline
uc_124,fuel_type,gasoline
uc_145,fuel_type,gasoline
uc_6,fuel_type,gasoline
uc_78,fuel_type,gasoline
uc_16,fuel_type,gasoline
uc_97,fuel_type,gasoline
uc_181,fuel_type,diesel
uc_54,fuel_type,gasoline
uc_56,fuel_type,gasoline
uc_127,fuel_type,gasoline
uc_156,fuel_type,gasoline
uc_87,fuel_type,gasoline
uc_141,fuel_type,flex fuel vehicle
uc_194,fuel_type,gasoline
uc_21,fuel_type,gasoline
uc_136,fuel_type,gasoline
uc_149,fuel_type,gasoline
uc_135,fuel_type,gasoline
uc_190,fuel_type,flex fuel vehicle
uc_177,fuel_type,gasoline
uc_25,fuel_type,gasoline
uc_53,fuel_type,gasoline
uc_152,fuel_type,gasoline
uc_36,fuel_type,gasoline
